student_name,name,location,cuisine,fav_dish,cost_per_person,yearly_visits,last_visit
1,Pho So 1,9135 W Broad St,Vietnamese,Beef pho,10.00,8,August 2017
1,Korean Garden,6827 Midlothian Turnpike,Korean,Bulgogi,20.00,2,December 2017
1,Vietnam One,6215 W Broad St,Vietnamese,Bun bo,10.00,3,November 2017
1,Can Can Brasserie,3120 W Cary St,French/breakfast,Egg Benedict,10.00,1,November 2017
1,Sen,2901 W Cary St,Vietnamese/French,Broken rice with steak,15.00,3,November 2017
1,Zzaam,3300 W Cary St,Korean,Bibimbap,10.00,5,January 2018
Ulrick,Pho So 1,"Richmond, VA",Vietnamese,Chicken Pho,14.00,1,2018-01
Ulrick,Vietnam 1,"Richmond, VA",Vietnamese,Broken Rice,15.00,8,2017-09
Ulrick,Burger Bach,"Richmond, VA",American,Goat Cheese Burger,11.00,1,2017-11
Ulrick,Zzaam,"Richmond, VA",Korean,Korean Bowl,13.00,3,2017-11
Ulrick,Greek on Cary,"Richmond, VA",Greek,Lamb Gyro,17.00,1,2017-10
Ulrick,Chadar Thai,"Richmond, VA",Thai,Pad Thai,12.00,3,2017-01
Anh,Chadar Thai,"Richmond, VA",Thai,Pad See Ew,15.00,5,2017-01
Anh,Pho so 1,"Richmond, VA",Vietnamese,Pho,10.00,4,2018-01
Anh,Vietnam 1,"Richmond, VA",Vietnamese,Broken rice,10.00,7,2017-09
Anh,Ful Kee,"Richmond, VA",Chinese,Dumplings,18.00,0,2016-10
Anh,Mai Sushi,"Richmond, VA",Japanese,Bento box,18.00,2,2017-09
Anh,Bonchon,"Richmond, VA",Korean,Chicken combo set,15.00,2,2017-07
4,dhall ,Richmond.VA,buffet ,wings ,10.00,200,1/25/2018
4,peter cheng ,Richmond.VA,Chinese ,hot pot ,18.00,5,1/15/2018
4,pho ,Richmond.VA,Asian,beef noodles,13.00,3,1/16/2018
4,wingstop,Chicago.IL,American ,wings ,10.00,3,12/20/2017
4,mcdonalds,richmond.VA,fast food,cheeseburger,6.00,10,1/20/2018
Shuzhi,Peter Chang,"Richmond, VA",Chinese,Kung Pao Chicken,20.00,8,Nov-17
Shuzhi,Mai sushi,"Richmond, VA",Japanese,Spicy Scallop Roll,20.00,5,Oct-17
Shuzhi,Little Sheep Hot Pot,Washington DC,Chinese,Beef,25.00,1,Dec-17
Shuzhi,Lemaire,"Richmond, VA",American,Sea food chowder25,25.00,1,Mar-17
Shuzhi,Boathouse Grill,"Richmond, VA",American,Grilled Shrimp,15.00,1,May-17
Shuzhi,Quan jude,"Beijing,China",Chinese,Roast Duck,30.00,2,Jan-18
6,Chipotle,7000 Forest Ave,Mexican,Steak Burrito,7.50,30,1/20/2018
6,Jersey Mike's,7000 Forest Ave,Italian,Classic Sandwich,9.00,5,11/27/2017
6,Nuevo Mexico,3088 Stony Point Rd.,Mexican,Huevos Rancheros,7.00,1,1/24/2018
6,Wendy's,4805 W Broad St,Fast Food,Baconator,6.00,7,11/29/2017
6,Chick-fil-a,1601 Willow Lawn drive,fast food,Spicy Chicken Sandwich,6.00,15,1/21/2018
6,Taco Bell,3088 Stony Point Drive,fast food,Taco,5.50,1,10/31/2018
Ahkar,Zzaams ,"Richmond, VA",Korean,Bowl,10.00,15,2018-01
Ahkar,Bonchon,"Henrico, VA",Korean,Strips,15.00,6,2018-01
Ahkar,Peking Gourmet,"Falls Church, VA",Chinese ,Orange Chicken ,30.00,1,2015-06
Ahkar,Chipotle ,"New York, NY",Fast Food,Bowl,10.00,1,2018-01
Ahkar,Hisho Sushi,"Richmond, VA",Japanese ,Eel Roll ,10.00,60,2018-01
Ahkar,Sweet Frog,"Falls Church, VA",Dessert ,Sugar Free Vanilla ,10.00,4,2017-06
Andrew,Pho so 1,"Richmond, VA",Korean,Beef Pho,12.00,10,2018-01
Andrew,Chipotle,"Richmond, VA",Fast Food,Chicken Burrito ,8.00,15,2018-01
Andrew,Chick-fil-a,"Richmond, VA",Fast Food,Chicken Sandwich,5.00,5,2017-11
Andrew,Burger Bach,"Richmond, VA",American,East Coast Burger,15.00,3,2017-10
Andrew,Pie Zoni,"Franklin, MA",Pizza,Buffalo Chicken Pizza,17.00,10,2017-12
Andrew,Capital Grill,"Boston, MA",American,Filet Mignon,35.00,1,2017-06
Lauren,pane_e_bene,"Westport, CT ",Italian,shrimp_scampi,35.00,30,2018-01
Lauren,gabriels,"Greenwich, CT",Italian ,filet_mignon,75.00,30,2018-01
Lauren,brick_and_wood,"Fairfield, CT",Pizza,white_pizza,18.00,30,2018-01
Lauren,molto,"Fairfield, CT",Italian,fettucini_carbonara,30.00,25,2018-01
Lauren,tarantinos,"Westport, CT ",Italian,chicken_scarpiello,35.00,20,2017-12
Lauren,josephs_steakhouse,"Bridgeport, CT",Other,porterhouse,50.00,15,2017-11
Chastyn,P.F. Changs," Richmond, VA",Asian,Shrimp Lo-mein,15.00,2,2017-06
Chastyn,CFA,"Henrico, VA",Fast food,Chicken sandwich,8.00,10,2017-08
Chastyn,Plaza Azteca,"Richmond, VA",Mexican,Rice and Beans,10.00,5,2017-11
Chastyn,Kona Grill,"Glen Allen, VA",Asian-American,Dumplings,15.00,0,2016-06
Chastyn,Sweet Ts,"Richmond, VA",Soul food,Cabbage,15.00,0,2015-07
