number,age,major,fav_movie_book,genre_movie_book,amount_movie_book,gender
1,18,Economics,Deadpool,Comedy,10+,Male
2,22,Chemistry,Harry Potter series,Fantasy,10+,Female
3,19,Sociology,Dirty Dancing,Drama,10+,Female
4,20,English,Slaughterhouse 5,Science Fiction,10+,Male
5,18,Psychology,Her,Science Fiction,10+,Male
6,20,Mathematics,A Girl in Translation,Autobiography,6-10,Female
7,18,Accounting,Requiem For a Dream,Drama,6-10,Male
8,19,Business Administration,Mad Max: Fury Road,Action,10+,Male
9,20,Chemistry,Memoirs of a Geisha,Historical fiction,10+,Female
10,18,Leadership,Forrest Gump,Drama,10+,Male
11,18,Physics,Interstellar,Science Fiction,6-10,Male
12,22,Biology,Good or God?,Christian Literature ,2-5,Female
13,19,Leadership,Zen and the Art of Motorcycle Maintenance,Philosophy ,10+,Male
14,21,Not in college / Major not in list,Things Fall Apart,Realistic Fiction,10+,Female
15,25,Political Science,Space Jam,Comedy,2-5,Male
16,18,Biology,Good Will Hunting,Drama,10+,Male
17,21,Healthcare Studies,The Cat Returns ,Anime ,10+,Female
18,20,Business Administration,The perks of being a wallflower,Drama,6-10,Female
19,21,Chemistry,The Dark Knight,Thriller,10+,Male
20,18,Business Administration,Sicario,Action,10+,Male
21,20,Biochemistry and Molecular Biology,Animal Farm ,Political satire ,10+,Female
22,23,Business Administration,Mulan,Animated,2-5,Female
23,20,Accounting,Breakfast at Tiffany's,Fiction,6-10,Female
24,22,Mathematics,Hidden Figures,Drama,2-5,Female
25,18,Biochemistry and Molecular Biology,Tuesdays with Morrie,Memoir,10+,Female
26,24,Psychology,A Walk to Remember,Romantic,6-10,Female
27,21,Accounting,Tangled,Animated,2-5,Female
28,40,Biology,Star Wars,Fiction,10+,Male
29,21,Environmental Studies,Saving private Ryan ,Action ,2-5,Male
30,19,Film,The Little Prince (movie & book),Animated,10+,Female
31,18,Computer Science,Django Unchained,Action,2-5,Male
32,22,Computer Science,Catching Fire,Science Fiction,6-10,Male
33,17,Health,The Kite Runner,Historical fiction,10+,Female
34,30,Communications,Dune,Science Fiction,10+,Male
35,23,Economics,Bridget Jones,Comedy,10+,Female
36,20,Psychology,The Outsiders,Young Adult Fiction,10+,Female
37,22,Film,Return of the King (movie),Fantasy,10+,Male
38,33,History,Star wars OT,Science Fiction,10+,Male
39,17,Biology,Ant Man,Action,10+,Male
40,21,Film,12 Angry Men,Drama,10+,Male
41,19,Not in college / Major not in list,Under the Skin,Horror,10+,Female
42,26,English,Casablanca/A Game of Thrones ,Romantic,10+,Male
43,19,Psychology,Ladybird,Comedy,6-10,Female
44,43,Engineering,The Selfish Gene,Science,10+,Male
45,26,Environmental Studies,Star Wars (all),Science Fiction,10+,Male
46,20,Psychology,Princess Bride,Romantic,10+,Female
47,19,Psychology,Percy Jackson,Fantasy,10+,Female
48,20,Business Administration,Short Term 12,Coming of Age,10+,Female
49,31,Sociology,The Prophet Khalil Gibran,Poetry,10+,Female
50,23,Psychology,Clue,Dark comedy,10+,Female
51,18,Biochemistry and Molecular Biology,Oldboy,thriller,10+,Female
52,20,Psychology,Spider-Man: Homecoming,Action/Adventure,10+,Agender
53,35,Computer Science,Terminator 2: Judgment Day,Science fiction,10+,Female
54,17,Biology,The Shape of Water,Drama/Fantasy,10+,Trans Male
55,27,Psychology,Lolita by Nabokov,Tragicomedy,10+,Male
56,18,Biology,Star Wars,Adventure,6-10,Female
57,23,Mathematics,Scott Pilgrim Vs. the World / The Hitchhikers' Guide to the Galaxy,Comedy / Comedy,10+,Male
58,20,Sociology,Good Omens,horror fiction/fantasy/humor fiction,6-10,Female
59,20,Psychology,Juno,Comedy,10+,Female
60,21,Environmental Studies,Movie: 10 Things I Hate About You / Book: Fire by Kristin Cashore,Teen high school movie / fantasy,10+,Female
61,30,Psychology,Harry Potter,Fantasy,10+,Female
62,18,Not in college / Major not in list,Saving Private Ryan,War,10+,Male
63,25,Not in college / Major not in list,Harry Potter series ,Fantasy ,10+,Male
64,29,English,Kafka On The Shore - Haruki Murakami ,Fiction,10+,Female
65,34,Chemistry,The Shining - movie and boook,Horror,10+,Nonbinary
66,36,History,"movie: blues brothers, book: wind up bird chronicles",Comedy,10+,Male
67,19,Computer Science,Psycho ,Horror,10+,Female
68,28,Computer Science,The Name of the Wind,Fantasy,10+,Female
69,22,Biology,Pulp Fiction,Action,10+,Female
70,23,Accounting,It,Horror,10+,Male
71,18,Mathematics,Lord of the Rings Saga,Fiction,10+,Male
72,19,Psychology,Terminator,Action,10+,Male
73,21,Biology,Get out,Horror,10+,Female
74,20,Biochemistry and Molecular Biology,REC,Horror,10+,Female
75,25,Business Administration,The Notebook,Drama,6-10,Female
